state,cases,date
KS,14,2021-03-14
KY,13,2021-03-14
LA,24,2021-03-14
ME,5,2021-03-14
MH,0,2021-03-14
MD,209,2021-03-14
MA,214,2021-03-14
MI,616,2021-03-14
FM,0,2021-03-14
MN,251,2021-03-14
MS,9,2021-03-14
MO,3,2021-03-14
MT,5,2021-03-14
NE,7,2021-03-14
NV,10,2021-03-14
NH,19,2021-03-14
NJ,160,2021-03-14
NM,9,2021-03-14
NY,136,2021-03-14
NC,40,2021-03-14
ND,7,2021-03-14
MP,0,2021-03-14
OH,91,2021-03-14
OK,0,2021-03-14
OR,16,2021-03-14
PW,0,2021-03-14
PA,68,2021-03-14
PR,1,2021-03-14
RI,7,2021-03-14
SC,27,2021-03-14
SD,2,2021-03-14
TN,67,2021-03-14
TX,140,2021-03-14
UT,81,2021-03-14
VT,0,2021-03-14
VI,0,2021-03-14
VA,49,2021-03-14
WA,99,2021-03-14
WV,3,2021-03-14
WI,65,2021-03-14
AL,85,2021-03-18
AK,2,2021-03-18
AS,0,2021-03-18
AZ,50,2021-03-18
AR,1,2021-03-18
CA,413,2021-03-18
CO,335,2021-03-18
CT,174,2021-03-18
DC,19,2021-03-18
DE,12,2021-03-18
FL,882,2021-03-18
GA,256,2021-03-18
GU,0,2021-03-18
HI,13,2021-03-18
ID,8,2021-03-18
IL,125,2021-03-18
IN,59,2021-03-18
IA,63,2021-03-18
KS,27,2021-03-18
KY,13,2021-03-18
LA,30,2021-03-18
ME,6,2021-03-18
MH,0,2021-03-18
MD,246,2021-03-18
MA,256,2021-03-18
MI,616,2021-03-18
FM,0,2021-03-18
MN,317,2021-03-18
MS,9,2021-03-18
MO,4,2021-03-18
MT,5,2021-03-18
NE,17,2021-03-18
NV,10,2021-03-18
NH,23,2021-03-18
NJ,160,2021-03-18
NM,17,2021-03-18
NY,136,2021-03-18
NC,77,2021-03-18
ND,7,2021-03-18
MP,0,2021-03-18
OH,108,2021-03-18
OK,0,2021-03-18
OR,16,2021-03-18
PW,0,2021-03-18
PA,137,2021-03-18
PR,1,2021-03-18
RI,7,2021-03-18
SC,27,2021-03-18
SD,2,2021-03-18
TN,71,2021-03-18
TX,414,2021-03-18
UT,52,2021-03-18
VT,5,2021-03-18
VI,0,2021-03-18
VA,50,2021-03-18
WA,146,2021-03-18
WV,3,2021-03-18
WI,55,2021-03-18
WY,9,2021-03-18
